singer,track,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Mark Eliyahu,Stress,0.313,0.0195,-21.672,0.0478,0.201,0.85,0.111,0.0324,79.903
Beyonce,OTHERSIDE,0.258,0.248,-9.507,0.0343,0.944,0.00365,0.0967,0.369,80.187
Hauser,Obsesion,0.582,0.697,-6.115,0.036,0.118,0.884,0.111,0.428,132.989
Rihanna,You Da One,0.702,0.715,-5.377,0.0425,0.503,2.44e-05,0.126,0.863,127.05
Maroon 5,One More Night,0.718,0.82,-3.453,0.0323,0.0444,0.0,0.0846,0.613,92.998
Beyonce,Before I Let Go,0.71,0.842,-5.424,0.0944,0.0686,0.0,0.337,0.435,102.994
Beyonce,COZY,0.556,0.63,-8.15,0.102,0.000828,0.00468,0.155,0.367,149.147
Maroon 5,Harder To Breathe,0.28,0.976,-5.67,0.0545,0.00546,0.0,0.934,0.723,148.092
Billie Eilish,Happier Than Ever,0.332,0.225,-8.697,0.0348,0.767,0.00349,0.128,0.297,81.055
Billy Esteban,Halkidiki,0.654,0.854,-5.13,0.0454,0.0832,0.000646,0.386,0.712,92.01
Alan Walker,Darkside,0.43,0.606,-5.115,0.0431,0.131,0.0,0.173,0.123,169.988
Rauf & Faik,Lonely,0.672,0.595,-6.488,0.033,0.657,0.0014,0.103,0.328,144.058
Jacob's Piano,Una Mattina,0.354,0.076,-22.115,0.0545,0.982,0.839,0.149,0.0984,133.6
Alan Walker,Fake A Smile,0.447,0.553,-4.817,0.0322,0.212,0.0,0.165,0.252,149.877
Halsey,Angel On Fire,0.505,0.697,-5.479,0.0406,0.254,0.0,0.158,0.208,96.938
Nuri Serinlendirici,Icime Atiyorum Ask,0.666,0.812,-6.727,0.0336,0.565,0.0,0.328,0.652,139.943
Billy Esteban,Amazon,0.678,0.569,-9.081,0.0338,0.292,0.878,0.49,0.559,139.962
Halsey,Ashley,0.663,0.531,-6.339,0.0827,0.137,0.0,0.146,0.366,125.014
Rihanna,Photographs,0.696,0.632,-5.786,0.0323,0.136,0.0,0.123,0.399,130.155
Beyonce,Party,0.648,0.593,-6.267,0.0509,0.0188,0.0,0.169,0.719,160.984
Billie Eilish,my boy,0.692,0.394,-8.745,0.207,0.472,0.000191,0.117,0.324,89.936
Sam Smith,How To Cry,0.444,0.348,-8.657,0.0405,0.629,2.27e-06,0.18,0.296,89.068
Charlie Puth,One Call Away,0.667,0.613,-5.353,0.0344,0.403,0.0,0.115,0.47,91.024
